Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Insomnia Lover	2016	comedy	Yuan Jie	Treechada Petcharat, Deng Zifeng, Yang Liao, Zhao Yixin, Patrick Tam, Teddy Lin, Wong Yat-fei, Kingdom Yuen	An Ding, a freelance insomnia therapist meets a beautiful girl at a beach in Shenzhen. After finding out that she needs help in going to sleep, he makes her falls to sleep on her beach chair and sticks on her chest his business card sticker. In a nightclub he meets his goddess who disappears after he comes back from the toilet. That same woman goes to his clinic to seek treatment accompanied by her girlfriend Xiao-chen and An Ding finds out her name is Miao Tiao. Miao Tiao works in an insurance firm. Later, in the same nightclub Miao Tiao and Xiao-chen are saved by An Ding and his friend Fei from two male patrons of the nightclub that are harassing them. Thus begins a one-sided love affair between An Ding and Miao Tiao. The movie ended happily with Miao Tiao finally accepting An Ding's love and reciprocates.	Chinese
Daddy's Home 2	2017	comedy	Sean Anders	Sean Anders (director/screenplay), John Morris (screenplay); Will Ferrell, Mark Wahlberg, Linda Cardellini, John Cena, Mel Gibson, John Lithgow	"After finally becoming friends at the end of the first film, Brad Whittaker and Dusty Mayron have a co-dad system where their two children, Megan and Dylan, take turns at each father's house. Dusty has also remarried, this time to Karen, a writer, and is stepdad to Adrianna, Karen's daughter.
Brad and his wife, Sara, along with Dusty and Karen, attend a school play for Megan, where she announces to the whole audience that she doesn't like the fact that she has to go back and forth to different houses all the time. Back at the house, after the play, Brad and Dusty decide to do away with having two separate Christmases and instead do one ""together Christmas"". Dusty, however, finds out his tough fighter pilot/astronaut father Kurt (Mel Gibson) is coming for Christmas.
At the airport the next day, Dusty tells Brad that his father is going to make fun of them since he won't understand their co-dad arrangement. When Kurt arrives, he mistakes Brad for a chauffeur. When Dusty explains that Brad is the stepdad to his children, Kurt doesn't like it. Brad's overbearing and over-cheerful dad, Don, arrives next, unnerving Kurt. Don tells Brad that his mother didn't come along, because she is taking care of Brad's Uncle who isn't feeling well.
Back at the house, Megan and Dylan warmly embrace Don, since he is very present in their lives, while Kurt hasn't seen the children since they were toddlers. Kurt rents a large cabin through Airbnb, to house all of them through the holiday week. As Brad and Dusty pack the bags into the car, Dusty tells Brad that Kurt thinks the two men are harboring bad feelings for each other, but are just hiding it from everyone by pretending to be friends. When Kurt comes up, they change the subject.
Throughout the week, Brad and Dusty's co-dad relationship is put to the test by Kurt's meddling. Meanwhile, Dusty tries to get close to his stepdaughter, Adrianna, but she doesn't like him and repeatedly tells him that he isn't her father. Sara also tries to bond with Karen but is taken aback by some of Karen's actions, like shoplifting clothes from a store. Dylan develops a crush on a little girl staying in the cabin next door. He gets made fun of it by Megan and Adrianna.
The next day, the family goes out to take the kids to see Santa. While there, Kurt convinces Dylan to ask Santa for a shotgun, which he does ask for. Brad and Sara tell Dylan that a shotgun for hunting means that a poor innocent animal will lose its life. This convinces Dylan to change his mind, but Megan instead decides she wants to go hunting. While out hunting the next day, Megan accidentally shoots Kurt in the shoulder, sending him to the hospital.
At the hospital, Dusty and Kurt begin to bond after they almost begin fighting when Kurt tries to leave the hospital. That night, Brad, Dusty, Don & Kurt go to an improv comedy club where the four men are relaxing and having a good time watching the show. Kurt gets up to go get another drink at the bar. Dusty sees Kurt picking up a woman at the bar and leaves with her. Brad enters Don into the improv show, and Dusty chooses a topic of a husband confronting his cheating wife as the subject of an improv skit. As the skit progresses, it is revealed that Don has separated from his wife in real life. The audience believes that this is all part of the show, even when Brad tries to tell the audience that it is not.
The next day, Brad confronts Dusty. After Dusty reveals that he chose the infidelity subject for the improv game because he wanted to get back at Brad, because of how Brad has a good relationship with Don. Brad says he knows that is why Dusty chose that particular topic and to get back at Dusty; Brad has invited Adrianna's real dad, Roger, to the cabin for Christmas.
That evening, the entire family takes part in a Christmas manger representation. Brad gets into a fight with Dusty after Brad wants to play Joseph, which Dusty is currently playing. This breaks out in front of a crowd that is watching. Instead of Dusty fighting Brad, he almost comes to blows with Roger.
The next morning, Christmas Day, the families all pack up to leave. On their way out of town, the families are forced back to town on account of a blizzard. They are forced to take shelter at a movie theater. With every other movie being sold out, due to the huge influx of business from other families seeking shelter at the theater, both families go to see the last movie available: Missile Tow, a fictitious Liam Neeson holiday action film.
When the power cuts off during the movie, the families go to the lobby where each man confronts their father about the secrets, lies, and attitudes. Don confronts Brad about not telling him the truth about his divorce, while Dusty tries to talk to Kurt. When Dylan sees the girl he has a crush on, is also there at the theater, he is teased again by Megan and Adrianna. After remembering some advice given to him by Kurt, Dylan walks toward her to kiss her. All of a sudden, he doesn't kiss her, but instead kisses Adrianna, his stepsister. Roger gets freaked out and attempts to leave with Adrianna, but is confronted by Dusty. He deduces that the reason why Adrianna hasn't warmed up to him is that he has never told her that he loves her, which he does. He also tells Roger that loving Adrianna means loving her real father as well since he is also part of the family. Roger almost leaves without Adrianna, but has a change of heart after everyone breaks out into a song of Do They Know It's Christmas? and decides to stay. Don and Brad also reconcile.
Sometime later, at the airport, Don and Kurt are preparing to leave to head back to their respective homes. Kurt heads with Don up the terminal escalators, where he reveals to Don that he switched out the tickets and they're going to spend New Years in Las Vegas.
As Brad's mom's flight arrives, Dusty and Brad discover that Brad's new stepdad is Chesley ""Sully"" Sullenberger, the pilot of the ""Miracle on the Hudson"" flight. Brad and Dusty remember that they watched the film ""Sully"" together not too long ago and Brad appears to be welcoming towards him. Brad runs down the terminal and says that Sully will never replace his father, because Sully has only one great personal story, whereas his father has thousands of stories."	American
Shotgun Wedding	2013	comedy	Danny Roew	Mike Damus, Kim Shaw, Joel McKinnon Miller	While drunk, Robert (Mike Damus), the groom-to-be, 'accidentally' shoots the maid of honor of his fiance in the face during a skeet-shooting event, and his scheming mother does whatever needed to ensure the wedding will occur, even to conspire with her ex-husband or kidnap the maid of honor.[2]	American
The Walking Deceased	2015	comedy	Scott Dow	"Dave Sheridan
Tim Ogletree
Joey Oglesby
Sophie Taylor"	"A zombie outbreak is caused by a sushi chef not washing his hands before preparing a meal, gloveless, for homeless dumpster-divers.
Twenty-nine days later, some zombies have taken up residence in a hospital; one named Romeo realizes his kind are slowly regaining humanity. He evades survivors Green Bay and Chicago (who is looking for porn); they meet idiotic Sheriff Lincoln (Dave Sheridan), who has woken from a coma; his son Chris accidentally hit a baseball at his head, and as a result, he mis-remembers Chris's name as Carl. After learning only LinkedIn remains on computers, Lincoln decides to search for his family; Green Bay and Chicago wish him luck, explaining their group resides in the mall. Lincoln mistakes a child and her father for ""clever zombies"", killing them and taking their van. Romeo notices an attractive girl named Brooklyn with Green Bay and Chicago, falling for her. Green Bay likes Brooklyn as well, but is too stupid to realize that she hates him. Elsewhere, Super Survivor is taking out zombies.
Lincoln investigates his home, finding a note from his son; they've taken shelter at his wife's workplace, a strip club. He finds Chris continued running the establishment for survivors (but is now foul mouthed). Due to the stupid patrons, a zombie infects Lincoln's wife Barbie, whom Chris kills. They head to the mall, meeting the other survivors: Harlem (Brooklyn's sister, whose thoughts appear as texts) and Darnell (who thinks his toy crossbow is real, and talks about rumors). Romeo arrives as well, along with zombies that followed him; he saves Brooklyn, who finds him attractive. Convincing everyone Romeo is not a threat, the group begins reorganizing. Ignoring voting, Lincoln and Chicago order the group to pack up to head to ""the farm"", a haven free of zombies.
They find the ""Safe Haven"" farm, owned by the elderly Reganites, whom the group thinks is hiding their daughter Isaac because she's a zombie. The group later meets Isaac, finding her uninfected; because her parents don't have any way to keep track of the outside world, they don't know about the infection. She keeps it secret, thinking her parents would have heartattacks.
Isaac, Green Bay, Brooklyn, Chicago and Romeo get high on marijuana the next day, setting off fireworks that attract zombies. After Chris kills a zombie, Lincoln explains to the couple about the outbreak; however, this goes over their heads as they pay more attention to the drug use than the zombies, who they think are stoners. Harlem snaps at Darnell and Green Bay, revealing she is deaf and can read lips. Green Bay and Isaac take out zombies that make to the house, using weapons and ""mind-blowing"" questions. Out in the field, Darnell accidentally kills the Super Survivor with a gun, who followed the fireworks. Crushed with grief, Darnell ends up pinned by a zombie; Harlem shoots him in the head, sick of his idiocy.
Brooklyn has Romeo bite her so they can be together, only to learn minutes later that a cure has been put in the water supply; she and Romeo spray water into their bite marks, curing them. Romeo admits that he finds Brooklyn attractive but bitchy. Using super soakers and the garden hose, the group spray the zombies with the cure; however, Lincoln still shoots live rounds at them until Chicago stops him.
Later, the survivors and the cured have a party, where Chris finally kisses a happy Harlem; Chris also reverts to being kind. Romeo and Brooklyn make out, while Chicago has sex with a cured woman. Green Bay and Isaac head to her room for sex, only to hear the radio announce a meteor the size of Texas is heading to Earth."	American
Bad Moms	2016	comedy	Jon Lucas Scott Moore	"Kristen Bell
Mila Kunis"	"Amy Mitchell (Mila Kunis) is a married woman in the Chicago suburbs with two children, Jane (Oona Laurence) and Dylan (Emjay Anthony), who feels overworked and overcommitted. She works as a sales rep for a ""hip"" coffee company, prepares healthful, hand-packed lunches for her children, does most of their homework, goes to all of their extracurricular activities, and is active in her school's PTA, run by the domineering Gwendolyn James (Christina Applegate) and her cronies, Stacy (Jada Pinkett Smith) and Vicky (Annie Mumolo). When she catches her husband Mike (David Walton) cheating on her with a camgirl, Amy kicks him out and attempts to keep everything together.
After a particularly stressful day, Amy publicly quits the PTA in response to Gwendolyn's overzealous bake sale plans. At a nearby bar, Amy meets Carla (Kathryn Hahn), a laid-back, sexually active single mom, and Kiki (Kristen Bell), a stay-at-home mom of four who adores Amy's dissent from Gwendolyn. Amy and Carla are irritated to discover that Kiki's husband is domineering and expects her to take care of all the kids and the house with no assistance whatsoever, while Amy and Kiki are disturbed at Carla's very hands-off approach to parenting. The trio embark on an all-night bender that inspires Amy to loosen up with her kids: she takes them for rides in Mike's classic car, gets them lunch from Arby's, forces Dylan to fend for himself to prevent him from being lazy and entitled, and takes the overachieving and constantly stressed Jane for a spa day. Amy herself decides to start dating but finds herself inexperienced due to her early marriage and motherhood. She ultimately ends up striking a connection with Jessie (Jay Hernandez), a handsome widower at the school who's had a crush on her.
After Amy brings store-bought donut holes to the bake sale, she draws the ire of Gwendolyn, who uses her PTA authority to get Jane benched from the soccer team. Amy is angered, and decides to run for PTA president in opposition to Gwendolyn. A meet-and-greet at Amy's home draws only one visitor, who informs them that Gwendolyn has launched a rival party at her own house, catered by Martha Stewart. In spite of this, the other moms, and Martha, swiftly abandon Gwendolyn's party when it becomes clear that she intends to lecture them all evening, leading to a successful party at Amy's house.
Gwendolyn responds by putting drugs in Jane's locker, which gets her kicked out of all extracurricular activities. Jane and Dylan both go to stay with Mike (who has agreed to an amicable divorce) in response to what they see as Amy's failure as a mom. Amy loses her job because her boss refuses to understand her reasons for taking time off.
A despondent Amy stays home during the PTA election but is roused into action by Carla and Kiki, who finally stands up to her husband and orders him to deal with everything alone until the meeting is over. At the event, Amy gives an inspiring speech about how all the moms are overworked and that they need to take time off, do fewer and less stressful events, and most importantly, allow themselves to make mistakes. Amy wins by a landslide and eventually winds up comforting a devastated Gwendolyn, who reveals that her life is not perfect like she claims it is and that being in charge of the PTA was her only way to take her anger out on the problems she is facing.
Some weeks later, Amy's approach has led to positive changes: Jane has been reinstated to the soccer team and is stressing out less, Dylan is actually applying himself, Kiki makes her husband help out with taking care of their kids, Carla is more responsible and hands-on, and all of the other moms, including Stacy and Vicky, are feeling more energized. Amy herself has gotten her job back with much better compensation after her boss sees how much he had taken her for granted, and she continues to see Jessie. Gwendolyn invites Amy, Carla, and Kiki for a day of fun on her husband's private jet.
The ending credits play over the cast interviewing their real-life moms."	American
Devil and Angel	2015	comedy	Yu Baimei, Deng Chao	Deng Chao, Sun Li, Dai Lele, Liang Chao, Yang Xinming, Wang Yanhui	Two exact opposite personalities (Mo Feili, a hooligan debt collector, and Zha Xiaodao, a neurotic rule-obsessed accountant/PhD) are teamed up by a scheming guru, who has been cheating the collector. When they collect 3.2 million yuan they find themselves in trouble and have to deal with the differences between them to work together and find a place for themselves in the world.	Chinese
From Vegas to Macau III	2016	comedy	Andrew Lau Wong Jing	Chow Yun-fat, Andy Lau, Nick Cheung, Jacky Cheung, Shawn Yue, Li Yuchun, Carina Lau, Angela Wang, Jacky Heung, Michelle Hu, Janice Man, Yuen Qiu, Psy, Kimmy Tong, Law Kar-ying, Lo Hoi-pang	"The film starts with the ending of From Vegas to Macau II where the cardshark Ken’s (Chow Yun Fat) lifelong lover-nemesis, Molly (Carina Lau), skydives without her parachute from her private jet. She now appears to be trapped inside some sort of laser bubble — unconscious, naked and horribly airbrushed — while her admirer, mad scientist Yik Tin Hang (Jacky Cheung) fumes about making Ken pay within his lair underneath Paradise Island, off the coast of Thailand. Over in Macau, Ken is busy having a meltdown over the wedding of the century of his daughter Rainbow (Kimmy Tong) to his godson Vincent (Shawn Yue). To help him snap out of it, his friend Mark (Nick Cheung) hypnotizes him into thinking Vincent is marrying his fat cousin. Things go very wrong when Michael (Andy Lau), the disciple of Ko Chun, phoned in with a warning to beware of Yik Tin Hang who has hired mercenaries to kill Ken. An explosion during the wedding causes both Rainbow and Vincent to fall into coma, while Ken and Mark are accused to have engulfed DOA’s illicit money. Enraged, Ken swears to seek vengeance and to pursue the mastermind who has entangled them in his evil plans.
Ken and Mark end up in prison, a convenient venue for them to play a card game using cigarettes as chips (so technically, it’s not gambling), but are then abruptly rescued from a criminal raid and take refuge in Michael’s home in Singapore. Michael’s spacious pad, whose open layout looks suspiciously like a sound stage, serves as a cost-effective location for a lengthy stretch, while a gaggle of characters drop in and out to deliver trite gags. These range from a mildly irritating demo of wonky weapons by an ammo expert (Law Kar-ying), to a criminally infantile cake-throwing match. Two romantic arcs unfold — one between Ken’s R2-D2 doppelganger robot, Stupido, and Michael’s femme-bot, Skinny; the other a love triangle involving Michael, Ko’s younger sister Ko Fei (Li Yuchun) and Mark.
When Yik Tin Hang finally arrives to exact revenge, he challenges Ken and his friends to a game of table tennis. He later invites them to a “charity” mahjong, dice and three-person card game from China (called ""Fighting the Landlord"") event at a hall within the island resort on Paradise Island. A host of cameos are trotted out, including Psy of ""Gangnam Style"" fame, who was then escorted out of the hall. After the games, sleeping gas is released into the hall, causing Ken and the guests to pass out.
Ken and his friends sneak into a warehouse under the hall, where they battle Yik Tin Hang's mercenaries and four robots. Stupido and Skinny, who fly all the way to the resort, save them and defeat the robots, but are heavily damaged in the process. Michael encounters nine tough androids, who attack him, but he tricks them, and Only Yu arrives with Interpol officers, pressing a large button that forces the androids to dance and then self-destruct. Ken confronts Yik Tin Hang in the latter's lair, and Yik Tin Hang electrocutes him with a baton and a gauntlet on his right arm, destroying his laboratory in the process. Molly awakens from her laser bubble and calls Yik Tin Hang, allowing Ken to defeat Yik Tin Hang. As she dies in Ken's arms, Yik Tin Hang watches and dies as well.
At the end of the movie, Ken and his friends celebrate Chinese New Year in Michael's house. Stupido and Skinny, who had been repaired, are brought with their robotic offspring to Ken's celebration."	Chinese
What Goes Up	2014	comedy	Matt Gambell		Upon arriving in Concord, New Hampshire in January 1986 to cover the hometown hooplah for the looming Space Shuttle Challenger launch where Concord teacher Christa McAuliffe is among the mission's crew, reporter Campbell Babbitt (Steve Coogan) decides to call an old college friend, only to discover an apparent suicide. Babbitt, who has his own ethical baggage, gravitates toward his friend's high-school students in hopes of finding an unsung hero story about a teacher who made a permanent impact on the social misfits of the school. Instead, he discovers a group of dysfunctional students, outcasts led by a narcissistic seductress (Hilary Duff), a repressed voyeur (Josh Peck), and a scheming pregnant teen (Olivia Thirlby). In a gradual reversal of roles, Babbitt soon finds himself learning from this unusual group of kids.[5]	British
Dirty Grandpa	2016	comedy	Dan Mazer	"Zac Efron
Robert De Niro"	"Jason Kelly is a lawyer who works for his father. Jason's grandmother dies, and after the funeral, his Army veteran grandfather, Dick, asks Jason to drive him to Boca Raton, Florida. Jason is getting married to his controlling fiancée, Meredith, in one week, but decides to take his grandfather anyway.
On the way there, the two meet Jason's old photography classmate, Shadia, along with her friends Lenore and Bradley. Dick and Lenore are instantly attracted to each other. Dick tells the girls that he is a professor and that Jason is a photographer. They all go their separate ways, but Dick convinces Jason that they should meet the girls at Daytona Beach, Florida, because Dick wants to have sex with Lenore. The two go to a golf course, where Dick flirts with two women.
At Daytona Beach, they meet up with the girls and the girls' friends, Cody and Brah, with whom they compete in beer chugging. That night, a drunk Jason, wearing nothing but a Hornet fanny pack, parties and smokes crack cocaine that he gets from a drug dealer named Pam. He steals a motorcycle and wakes up the next day on the beach. During an awkward FaceTime with Meredith, a boy grabs the fanny pack and takes it off; his father suspects Jason of being a pervert and calls the police, who promptly arrest Jason. Dick bails him out, and the two visit Dick's old Army friend in a nursing home. They meet the girls again and enter a flexing contest with Cody and Brah; when they lose, Dick alters a T-shirt cannon to fire a beer can at the winning duo, hospitalizing them and stay at their place. After Dick reveals to Jason that he was a member of the Special Forces, the two go to a nightclub with the girls. Dick gets into a fight with some men after they bully Bradley for his homosexuality. The next day, Jason goes to a protest with Shadia and she tells him that she is leaving soon and going to live on a ship for a year.
That night, Jason plans on telling Shadia who he really is, but before he can, Cody does an online search on him and tells Shadia that Jason is already engaged. Jason then gets caught with drugs and is thrown into jail again. The next day, Dick bails him out and tells Jason that his real reason for the trip was to convince Jason not to go through with the wedding. Jason leaves Dick and drives back home.
During his wedding rehearsal, Dick hacks into the computer system, revealing embarrassing photos of Jason during the party. Jason says that he cannot marry Meredith, who reveals that she had an affair. He, Dick, and Pam use Pam's ice cream truck to catch up with the bus that Shadia is on as she is leaving. Jason and Shadia kiss, and he gets on the bus with her. Dick goes to his house in Boca Raton and finds Lenore there waiting for him, and they have sex. Dick and Lenore get married and have a baby, and Jason and Shadia are named the godparents."	American
Inherent Vice	2014	comedy	Paul Thomas Anderson	"Joaquin Phoenix
Owen Wilson
Reese Witherspoon
Benicio del Toro"	"In 1970, Shasta Fay Hepworth visits the beach house of her ex-boyfriend, Larry ""Doc"" Sportello, a private investigator and hippie in Gordita Beach, Los Angeles County. Shasta tells him about her new lover, Michael Z. ""Mickey"" Wolfmann, a wealthy real estate developer. She asks Doc to help prevent Mickey's wife and her lover from having Mickey abducted and committed to an insane asylum.
Doc meets with Tariq Khalil, a member of the Black Guerrilla Family. Khalil hires Doc to find Glen Charlock, a member of the Aryan Brotherhood he met in jail, who now owes him money and is one of Wolfmann's bodyguards.
Doc visits Mickey's Channel View Estates project and enters the only business in the developing strip mall, a massage parlor, where he meets an employee, Jade. Doc searches the premises for Charlock, but he is hit with a baseball bat and collapses. He awakens outside, lying next to Charlock's dead body and surrounded by policemen. Doc is interrogated by Det. Christian F. ""Bigfoot"" Bjornsen of the LAPD, and learns that Wolfmann has disappeared. He is helped by his attorney, Sauncho Smilax, who arranges for his release by the LAPD.
Doc is hired by former heroin addict Hope Harlingen, who is looking for her missing husband, Coy. She was told that Coy was dead, but she believes he is alive because due to a large deposit to her bank account. Coy seeks out Doc and says he is hiding at a house in Topanga Canyon. In a second meeting, he reveals he is a police informant and fears for his life, only wanting to return to his wife and daughter.
Jade leaves a message for Doc, apologizing for setting him up with the police and telling him to ""beware of the Golden Fang"". He meets her in an alley, where she explains that the Golden Fang is an international drug smuggling operation. Doc talks to Sauncho, who gives him information about a suspicious boat called the ""Golden Fang"" and tells him that, the last time the ship sailed, it was with Shasta on board. Thanks to a postcard from her, Doc finds a large building shaped like a golden fang and meets dentist Dr. Rudy Blatnoyd.
Bigfoot calls Doc and tells him that Blatnoyd has just been found dead with fang bites in his neck. Bigfoot decides to help Doc about Coy and tells him to search for Puck Beaverton in Chryskylodon, an asylum run by a cult connected to the Golden Fang. There, Doc finds Mickey, who is being watched by the FBI. Mickey tells Doc he felt guilty for the negativity his real-estate business has caused and wants to give away his money. He appears to be a happy member of the cult.
When Doc returns home to his beach house, he is greeted by Shasta, who has returned and is indifferent to the trouble her disappearance has caused. She confesses to being on a ""three-hour tour"" and that she was brought along as inherent vice. She and Doc have sex.
Penny, an assistant district attorney with whom Doc was having a fling, provides him with confidential files from which he learns that the loan shark Adrian Prussia is paid by the police department to kill people for them and that one of his victims was Bigfoot's former partner. Prussia is tied to the Golden Fang and Doc learns that Glen Charlock was involved with a deal, which is how he ended up dead. Doc visits Adrian, noticing his obsession with baseball bats, but is abducted and drugged by his partner Puck. He manages to escape, killing both Puck and Adrian. Bigfoot appears and rescues him but after being driven home by Bigfoot, Doc learns that he has been set up: Bigfoot has planted heroin in his car. Doc arranges for the drugs to be returned to the Golden Fang in exchange for Coy's freedom. Doc and Shasta ride in a car going to an unknown destination."	American
Foolish Plans	2016	comedy	Jiang Tao	Wang Ning, Xiu Rui, Wang Zijian, Wang Ou, Liu Yase, Chen Yang, Wang Yanhui	Three down on their luck best friends search for love and good fortune. What began as an arranged marriage scheme with their boss’s pregnant mistress spirals into a hilarious all-out caper involving a possible murder, money laundering and a missing $100 million check.	Chinese
Last Flag Flying	2017	comedy	Richard Linklater	Richard Linklater (director/screenplay); Darryl Ponicsan (screenplay); Steve Carell, Bryan Cranston, Laurence Fishburne, Yul Vazquez	"In 2003, Larry ""Doc"" Shepherd (Carell) visits the bar of Sal Nealon (Cranston), a former Marine that he served with in Vietnam. Sal willingly joins Doc on an impromptu drive where Doc reveals that he's also tracked down another friend from Vietnam, now-Reverend Richard Mueller. Sal and Doc are invited to dinner with the Muellers, where Doc reveals he is recently widowed and just lost his only son in Iraq. He admits he tracked down Sal and Mueller in the hope that they would accompany him to collect his son Larry Jr's body and take him to his scheduled burial. Sal agrees, though Mueller is hesitant, claiming that Sal and Doc represent a dark period in his life. His wife urges him to do it, so he reluctantly agrees to accompany him.
Along the way, Sal and Mueller clash over their differing philosophies and their mutual guilt over their past; both Sal and Mueller (nicknamed the Mauler) indulged in alcohol, drugs and prostitutes while on deployment, and on one occasion used up the entire supply of then-19 year old Doc's painkillers, which led to a needlessly painful death for one of their fellow Marines and a dishonorable discharge for Doc. Sal, who has no social filter from a head injury from the war, continually gets under Mueller's skin for having found religion, whilst Mueller expresses frustration at Sal's lack of maturity. At Dover Air Force Base, Doc requests to view the maimed body of his son, against the advice of Mueller and LtCol Willits (Vazquez). During the viewing, LCpl Charlie Washington, Larry's close friend, reveals to Sal and Mueller that Larry Jr had been killed while shopping at an Iraqi market, contrary to the official story of dying while fighting heroically; Sal reveals the truth to a disillusioned Doc, who refuses the Arlington National Cemetery burial and insists on giving Larry Jr a civilian burial. Willits orders Washington to accompany the body and coerce Doc into changing his mind about having his deceased son buried in civilian clothing.
Sal, Mueller and Doc begin a long road trip back home, waylaid by the Department of Homeland Security (alerted by their cash rental, vague destination and Mueller's praying) and a missed train in New York. Over the course of the journey, the clashing becomes more good natured and Doc begins to boost in the company of his friends. Sal asks Doc to move to his town to run the bar with him, and the three purchase their first cell phones to stay in contact. Their trip takes them to Boston where Sal insists that they meet the mother of Jimmy Hightower, the fellow Marine who died painfully without morphine. When they arrive, they realise that Mrs. Hightower was given the same story about her son's heroism that Doc was given about Larry Jr; Sal decides not to deny her the story and the trio pretend to have been the men that Hightower saved when he was killed in action.
The group return to Portsmouth for Larry Jr's funeral, and where Washington persuades Doc that Larry's civilian suit will be too small and he should be buried in his dress blues. At the burial, Sal and Mueller wear their uniforms, and participate in the flag-folding ceremony. Back at Doc's house, Charlie gives Doc a letter from Larry, claiming not to have read it. Doc reads Larry's wishes; to be buried beside his mother wearing his uniform. Doc smiles as Larry thanks him for being a great father."	American
Royal Treasure	2016	comedy	Ren Jing Yan Min	Huang Bo, Sun Honglei, Huang Lei, Show Lo, Wang Xun, Zhang Yixing, Zhao Liying, Yu Hewei	When Huang Bo, Sun Honglei, Huang Lei, Show Lo, Wang Xun and Zhang Yixing are filming the reality show Go fighting!, a thunderstone had struck them, and they go back to the Ming dynasty (1368 - 1644). They are in favour with the emperor, before the death of the emperor, he leaves the legacy - the Order of the Holy Flame to them. After the emperor died, they return to the modern civilization and begin their journey of searching for the treasure.[2]	Chinese
Let's Be Cops	2014	comedy	Luke Greenfield	"Damon Wayans, Jr.
Jake Johnson
Nina Dobrev
Rob Riggle"	"Two longtime friends, Justin Miller (Wayans), a struggling video game designer, and Ryan O'Malley (Johnson), an unemployed, washed-up former college quarterback, recall a pact they once made: if they hadn't ""made it"" in Los Angeles by the time they were thirty, they would head back to their Columbus hometown. As they leave a bar, their car is hit by a Mercedes Benz G500 driven by an Albanian gang, who intimidate them into not retaliating.
Justin attempts to pitch a video game about policemen, but the idea is rudely dismissed by his boss, Todd. Later, Ryan convinces him to use the police uniforms from his presentation as costumes for their college reunion party. Upon attending, they meet many successful former classmates and both are confronted with a sense of failure and they mutually accept to honor their pact. As they walk home, they are treated like real cops and decide to enjoy the gag. They kick the Albanian gang out of Georgie's, a local diner. It allows Justin to finally get the attention of Josie, a waitress to whom he is attracted and who works at the said diner.
Ryan decides to take the hoax further than one night. He learns official procedures on YouTube and buys a used Ford Crown Victoria police cruiser, modifying it with decals to resemble a real LAPD car. Although reluctant, Justin agrees to continue the charade, and through it, begins a relationship with Josie. Ryan gets revenge on the Albanians who hit his car, unaware they are actually mobsters blackmailing the owner of Georgie’s. During their many shenanigans, Ryan and Justin end up on a real distress call with Patrol Officer Segars. The experience shakes Justin, who realizes they face serious jail time if exposed. He tries to “retire,” but gets a phone call from Josie about a man frequently harassing her at work. It turns out to be Mossi Kasic, the leader of the same Albanian gang. Once more, the pair are intimidated into doing nothing.
Via Segars, Ryan obtains surveillance equipment to gather evidence and put Mossi away, along with an unidentified partner who has been investigating the pair. Ryan convinces Justin to do an undercover operation to obtain information on an incriminating shipment of crates. During the mission, they discover the crates full of SWAT equipment and weapons, along with secret tunnels that run between Mossi's club and Georgie’s restaurant. This necessitates the acquisition of the restaurant, explaining the blackmail. After a few close encounters with the mobsters, they barely escape. Fed up, Justin insists on mailing the evidence anonymously, but Ryan, finding purpose in his life again, is set on delivering it personally. They fight, and part ways.
Ryan brings his evidence to Segars, who recommends it go to the highest authority, which is Detective Brolin. Unfortunately, Brolin is actually Mossi's business partner. After instantly recognizing each other, Ryan makes it out of the station, but his sudden threat has blown their cover. Meanwhile, Justin decides to ""man up"" and, in uniform, assertively pitches his game again. One of Brolin's officers shows up to try and kill him, inadvertently helping to sell the pitch. Ryan is abducted, and Mossi sends a threatening message to Justin. Overwhelmed, Justin pleas to Segars for help after admitting everything. He also confesses to Josie that he is not a real cop, which he had made previous attempts to do, and she disgustedly leaves him.
Justin goes into the tunnels alone while Ryan pits Mossi and Brolin against each other, prompting Mossi to shoot and kill the detective. Justin attempts to save his friend, but is overpowered. Segars arrives, causing Mossi and his crew to retreat. Segars admonishes the duo for their deception and orders them to leave before going after the mobsters, without waiting for backup. Ryan and Justin agree they can’t abandon him, and suit up with the SWAT equipment. They save Segars, but he becomes incapacitated. The pair then face Mossi alone, during which the two reconcile. They fail to take him out, but luckily, Segars is able to show up and shoots Mossi on the side of the neck, saving Justin and Ryan.
Thanks to the respective confidence and motivation gained during their impersonations, Justin has become a successful game developer, while Ryan graduates from the police academy as a true, fully-fledged member of the LAPD. Justin apologizes to Josie, and after she forgives him, they rekindle their relationship. Ryan, however, still has not given up on their fun as cops together, and convinces Justin to don the fake uniform once again and join him on patrol."	American
